1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: English surname transferred to forename use, derived from the city name, itself from eure-ric or eouer-ric, composed of the elements euere "wild boar" and ryc "refuge," hence "retreat from wild boars," which were in the forest of Gautries. | male. YORK
1: English surname transferred to forename use, derived from the French feminine personal name Emmet, meaning "entire, whole." Compare with another form of Emmet. | male. EMMET
1: English surname transferred to forename use, derived from the French personal name Pascal, meaning "Passover; Easter." | male. PACE
1: English surname transferred to forename use, derived from the German personal name Emeric, meaning "work-power." | male. EMERY
1: English surname transferred to forename use, derived from the German personal name Werner, meaning "Warin warrior," i.e. "covered warrior." | male. WARNER
1: English surname transferred to forename use, derived from the German personal name Wilmar, meaning "desires fame." | male. WILMER
1: English surname transferred to forename use, derived from the medieval feminine name Royse, which is probably a horse-related name. | male. ROYCE
1: English surname transferred to forename use, derived from the medieval personal name Wyot, meaning "hardy warrior." | male. WYATT
1: English surname transferred to forename use, derived from the Middle English element pris, meaning "price" or "prize." | male. PRICE
1: English surname transferred to forename use, derived from the Middle English word tye, meaning "pasture." | male. TYE
1: English surname transferred to forename use, derived from the name of a county of Scotland, which took its name from Gaelic Aonghus (supposedly from Aongus Fer), meaning "excellent valor." | male. ANGUS
1: English surname transferred to forename use, derived from the name of a place composed of the Old English elements read "red" and leah "clearing, meadow," hence "red meadow." | male. RADLEY
1: English surname transferred to forename use, derived from the name of a place in Humberside composed of the Old English elements beofor "beaver" and lēac "stream," hence "beaver stream." The feminine form of the name is spelled without the second "e"--Beverly. | male. BEVERLEY
1: English surname transferred to forename use, derived from the name of a place in Humberside composed of the Old English elements beofor "beaver" and lēac "stream," hence "beaver stream." The masculine form of the name is spelled with an extra "e"--Beverley. | female. BEVERLY
1: English surname transferred to forename use, derived from the name of a place in Northumbria composed of the Old English elements beonet "bent grass" and tūn "enclosure; settlement," hence "bent grass settlement." | male. BENTON
1: English surname transferred to forename use, derived from the name of many places named from Old English ceorlatun, meaning "settlement of the free peasants." | male. CHARLTON
1: English surname transferred to forename use, derived from the name of numerous places composed of the Old English elements mylen "mill" and ford "ford," hence "mill ford." | male. MILFORD
1: English surname transferred to forename use, derived from the name of the famous Sherwood Forest, composed of the Old English elements scir "bright, clear, shire" and wudu "wood," hence "bright forest." | male. SHERWOOD
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements beonet, "bent grass" and lēah "clearing, meadow" hence "bent grass meadow." | male. BENTLEY
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements hreod "reeds" and leah "clearing, meadow," hence "reed meadow." | male. RIDLEY
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements mere "lake, pool" and tun "enclosure, settlement," hence "lake settlement." | male. MERTON
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements neowe "new" and tun "enclosure, settlement," hence "new settlement." | male. NEWTON
1: English surname transferred to forename use, derived from the name of various places composed of the Old English elements scir "bright" and leah "clearing, meadow," hence "bright meadow." | female. SHIRLEY
1: English surname transferred to forename use, derived from the name Tolbert, possibly meaning "messenger of destruction." | male. TALBOT
1: English surname transferred to forename use, derived from the Norman baronial name Cuinchy, a derivative of Roman Quintus, meaning "fifth." | male. QUINCY
1: English surname transferred to forename use, derived from the Norman French personal name Aimeri, meaning "home-ruler." | male. AMORY
1: English surname transferred to forename use, derived from the Norman personal name Mainard, meaning "strong and hardy." | male. MAYNARD
1: English surname transferred to forename use, derived from the Old French byname Rousel, meaning "little red one." | male. RUSSELL
1: English surname transferred to forename use, derived from the Old Norman French byname Louvel, meaning "little wolf." | male. LOWELL
1: English surname transferred to forename use, derived from the old Scottish Gaelic personal name Bláán, meaning "little yellow one." | male. BLAIN
1: English surname transferred to forename use, derived from the vocabulary word maverick, originally meaning "unbranded range animal." This was the surname of Samuel Maverick (1803-1870), a Texas cattleman who refused to brand his cattle. Its use as a personal name first began in the early 1990s after the release of the movie "Maverick" starring Mel Gibson. The sense of "unconventional person," is first recorded in 1886, and seems to have developed from the notion of being "independent, masterless." | male. MAVERICK
