AGAF|Afutara Airport|Afutara
KGYR|Goodyear Municipal Airport|Phoenix, Arizona
KGYY|Gary/Chicago International Airport|Gary, Indiana
KGZH|Middleton Airport|Evergreen, Alabama
KHAB|Marion County - Rankin Fite Airport|Hamilton, Alabama
KHAF|Half Moon Bay Airport|Half Moon Bay, California
KHAR|Harford Airport|Casper, Wyoming
KHBC|Mohall Municipal Airport|Mohall, North Dakota
KHBG|Chain Municipal Airport|Hattiesburg, Mississippi
KHBI|Asheboro Regional Airport|Asheboro, North Carolina
KHBZ|Heber Springs Municipal Airport|Heber Springs, Arkansas
KHCD|Hutchinson Municipal Airport|Hutchinson, Minnesota
KHDE|Brewster Airport|Holdrege, Nebraska
KHDN|Yampa Valley Airport|Hayden, Colorado
KHDO|Hondo Municipal Airport|Hondo, Texas
KHEE|Thompson-Robbins Airport|Helena, Arkansas
KHEF|Manassas Regional Airport|Manassas, Virginia
KHEI|Hettinger Municipal Airport|Hettinger, North Dakota
KHEQ|Holyoke Municipal Airport|Holyoke, Colorado
KHEZ|Natchez-Adams County Airport|Natchez, Mississippi
KHFD|Hartford-Brainard Airport|Hartford, Connecticut
KHFF|Mackall Army Airfield|Camp Mackall, North Carolina
KHGR|Hagerstown Regional Airport|Hagerstown, Maryland
KHHR|Hawthorne Municipal Airport|Hawthorne, California
KHIE|Mount Washington Regional Airport|Whitefield, New Hampshire
KHIF|Hill Air Force Base|Ogden, Utah
KHII|Lake Havasu City Airport|Lake Havasu City, Arizona
KHIO|Hillsboro Airport|Portland, Oregon
KHJH|Hebron Municipal Airport|Hebron, Nebraska
KHJO|Hanford Municipal Airport|Hanford, California
KHKA|Blytheville Municipal Airport|Blytheville, Arkansas
KHKS|Hawkins Field|Jackson, Mississippi
KHKY|Hickory Regional Airport|Hickory, North Carolina
KHLC|Hill City Municipal Airport|Hill City, Kansas
KHLG|Wheeling-Ohio County Airport|Wheeling, West Virginia
KHLN|Helena Regional Airport|Helena, Montana
KHLX|Twin County Airport|Galax-Hillsville, Virginia
KHMN|Holloman Air Force Base|Alamogordo, New Mexico
KHMT|Hemet-Ryan Airport|Hemet, California
KHMZ|Bedford County Airport|Bedford, Pennsylvania
KHND|Henderson Executive Airport|Henderson, Nevada
KHNZ|Oxford-Henderson Airport|Oxford, North Carolina
KHOB|Lea County Regional Airport|Hobbs, New Mexico
KHOE|Homerville Airport|Homerville, Georgia
KHON|Huron Regional Airport|Huron, South Dakota
KHOP|Campbell Army Airfield|Fort Campbell, Kentucky
KHOT|Hot Springs Memorial Field Airport|Hot Springs, Arkansas
KHOU|William P. Hobby Airport|Houston, Texas
KHPN|Westchester County Airport|White Plains, New York
KHQG|Hugoton Municipal Airport|Hugoton, Kansas
KHQM|Bowerman Airport|Hoquiam, Washington
KHQU|Thomson-McDuffie County Airport|Thomson, Georgia
KHQZ|Mesquite Metro Airport|Mesquite, Texas
KHRI|Hermiston Municipal Airport|Hermiston, Oregon
KHRJ|Harnett County Airport|Erwin, North Carolina
KHRL|Valley International Airport|Harlingen, Texas
KHRO|Boone County Airport|Harrison, Arkansas
KHRU|Herington Regional Airport|Herington, Kansas
KHSA|Stennis International Airport|Bay St. Louis, Mississippi
KHSE|Billy Mitchell Airport|Hatteras, North Carolina
KHSI|Hastings Municipal Airport|Hastings, Nebraska
KHSP|Ingalls Field|Hot Springs, Virginia
KHSR|Hot Springs Municipal Airport|Hot Springs, South Dakota
KHST|Homestead Joint Air Reserve Base|Homestead, Florida
KHSV|Huntsville International Airport|Huntsville, Alabama
KHTH|Hawthorne Industrial Airport|Hawthorne, Nevada
KHTO|East Hampton Airport|East Hampton, New York
KHTS|Tri-State Airport|Huntington, West Virginia
KHUA|Redstone Army Airfield|Redstone Arsenal, Huntsville, Alabama
KHUM|Houma-Terrebonne Airport|Houma, Louisiana
KHUT|Hutchinson Municipal Airport|Hutchinson, Kansas
KHVC|Hopkinsville-Christian County Airport|Hopkinsville, Kentucky
KHVE|Hanksville Airport|Hanksville, Utah
KHVN|Tweed-New Haven Airport|New Haven, Connecticut
KHVR|Havre City County Airport|Havre, Montana
KHVS|Hartsville Regional Airport|Hartsville, South Carolina
KHWD|Hayward Executive Airport|Hayward, California
KHWQ|Wheatland County Airport|Harlowton, Montana
KHWV|Brookhaven Airport|Shirley, New York
KHXD|Hilton Head Airport|Hilton Head Island, South Carolina
KHXF|Hartford Municipal Airport|Hartford, Wisconsin
KHYA|Barnstable Municipal Airport|Hyannis, Massachusetts
KHYI|San Marcos Municipal Airport|San Marcos, Texas
KHYR|Sawyer County Airport|Hayward, Wisconsin
KHYS|Hays Regional Airport|Hays, Kansas
KHYW|Conway-Horry County Airport|Conway, South Carolina
KHYX|Saginaw County H.W. Browne Airport|Saginaw, Michigan
KHZE|Mercer County Regional Airport|Hazen, North Dakota
KHZL|Hazleton Municipal Airport|Hazleton, Pennsylvania
KHUL|Houlton International Airport|Houlton, Maine
KIAB|McConnell Air Force Base|Wichita, Kansas
KIAD|Washington Dulles International Airport|Washington, DC
KIAG|Niagara Falls International Airport|Niagara Falls, New York
KIAH|George Bush Intercontinental Airport|Houston, Texas
KIBM|Kimball Municipal Airport (Arraj Field)|Kimball, Nebraska
KICT|Wichita Mid-Continent Airport|Wichita, Kansas
KIDA|Idaho Falls Regional Airport|Idaho Falls, Idaho
KIDI|Indiana County-Jimmy Stewart Airport|Indiana, Pennsylvania
KIDL|Indianola Municipal Airport|Indianola, Mississippi
KIDP|Independence Municipal Airport|Independence, Kansas
KIFP|Laughlin/Bullhead International Airport|Bullhead City, Arizona
KIGM|Kingman Airport|Kingman, Arizona
KIGX|Horace Williams Airport|Chapel Hill, North Carolina
KIIB|Independence Municipal Airport|Independence, Iowa
KIIY|Washington-Wilkes County Airport|Washington, Georgia
KIJD|Windham Airport|Willimantic, Connecticut
KILE|Skylark Field|Killeen, Texas
KILG|New Castle County Airport|Wilmington, Delaware
KILM|Wilmington International Airport|Wilmington, North Carolina
KIML|Imperial Municipal Airport|Imperial, Nebraska
KIMM|Immokalee Airport|Immokalee, Florida
KIND|Indianapolis International Airport|Indianapolis, Indiana
KINS|Creech Air Force Base|Indian Springs, Nevada
KINT|Smith Reynolds Airport|Winston-Salem, North Carolina
KINW|Winslow-Lindbergh Regional Airport|Winslow, Arizona
KIOW|Iowa City Municipal Airport|Iowa City, Iowa
KIPJ|Lincoln County Regional Airport|Lincolnton, North Carolina
KIPL|Imperial County Airport|Imperial, California
KIPT|Williamsport Regional Airport|Williamsport, Pennsylvania
KISN|Sloulin Field International Airport|Williston, North Dakota
KISO|Kinston Regional Jetport (Stallings Field) - Kinston, North Carolina|
KISP|Long Island MacArthur Airport|Islip, New York
KITH|Ithaca Tompkins Regional Airport|Ithaca, New York
KITR|Kit Carson County Airport|Burlington, Colorado
KIWA|Phoenix-Mesa Gateway Airport|Mesa, Arizona
KIWI|Wiscasset Airport|Wiscasset, Maine
KIXD|New Century AirCenter|Olathe, Kansas
KIYK|Inyokern Airport|Inyokern, California
KIZA|Santa Ynez Airport|Santa Ynez, California
KIZG|Eastern Slopes Regional Airport|Fryeburg, Maine
KJAC|Jackson Hole Airport|Jackson Hole, Wyoming
KJAN|Jackson International Airport|Jackson, Mississippi
KJAX|Jacksonville International Airport|Jacksonville, Florida
KJBR|Jonesboro Municipal Airport|Jonesboro, Arkansas
KJDN|Jordan Airport|Jordan, Montana
KJEF|Jefferson City Memorial Airport|Jefferson City, Missouri
KJFK|John F. Kennedy International Airport|New York, New York
KJFX|Walker County Airport (Bevill Field)|Jasper, Alabama
KJER|Jerome County Airport|Jerome, Idaho
KJGG|Williamsbrug-Jamestown Airport|Williamsburg, Virginia
KJHW|Chautauqua County-Jamestown Airport|Jamestown, New York
KJKA|Jack Edwards Airport|Gulf Shores, Alabama
KJMS|Jamestown Regional Airport|Jamestown, North Dakota
KJNX|Johnston County Airport|Smithfield, North Carolina
KJQF|Concord Regional Airport|Concord, North Carolina
KJST|Johnstown-Cambria County Airport|Johnstown, Pennsylvania
KJYO|Leesburg Executive Airport|Leesburg, Virginia
KJYR|York Municipal Airport|York, Nebraska
KJZI|Charleston Executive Airport|Charleston, South Carolina
KJZP|Pickens County Airport|Jasper, Georgia
KKIC|Mesa Del Rey Airport|King City, California
KKLS|Kelso-Longview Regional Airport|Kelso, Washington
KKNB|Kanab Municipal Airport|Kanab, Utah
KTOI|Troy Municipal Airport|Troy, Alabama
KLAA|Lamar Municipal Airport|Lamar, Colorado
KLAF|Purdue University Airport|West Lafayette, Indiana
KLAM|Los Alamos Airport|Los Alamos, New Mexico
KLAR|Laramie Regional Airport|Laramie, Wyoming
KLAS|McCarran International Airport|Las Vegas, Nevada
KLAX|Los Angeles International Airport|Los Angeles, California
KLBB|Lubbock Preston Smith International Airport|Lubbock, Texas
KLBE|Arnold Palmer Regional Airport (Westmore County Airport) - Latrobe, Pennsylvania|
KLBF|North Platte Regional Airport (Lee Bird Field)|North Platte, Nebraska
KLBL|Liberal Municipal Airport|Liberal, Kansas
KLBR|Clarksville/Red River County Airport|Clarksville, Texas
KLBT|Lumberton Municipal Airport|Lumberton, North Carolina
KLCG|Wayne Municipal Airport|Wayne, Nebraska
KLCK|Rickenbacker International Airport|Columbus, Ohio
KLCH|Lake Charles Regional Airport|Lake Charles, Louisiana
KLCI|Laconia Municipal Airport|Laconia, New Hampshire
KLDJ|Linden Airport|Linden, New Jersey
KLEB|Lebanon Municipal Airport|West Lebanon, New Hampshire
KLEM|Lemmon Municipal Airport|Lemmon, South Dakota
KLEW|Auburn/Lewiston Municipal Airport|Auburn, Maine
KLEX|Blue Grass Airport|Lexington, Kentucky
KLFI|Langley Air Force Base|Hampton, Virginia
KLFK|Angelina County Airport|Lufkin, Texas
KLGA|LaGuardia International Airport|New York, New York
KLGB|Long Beach Airport|Long Beach, California
KLGD|La Grande/Union County Airport|La Grande, Oregon
KLGF|Laguna Army Airfield|Yuma, Arizona
KLGU|Logan-Cache Airport|Logan, Utah
KLHB|Hearne Municipal Airport|Hearne, Texas
KLHM|Lincoln Regional Airport (Karl Harder Field)|Lincoln, California
KLHQ|Fairfield County Airport|Lancaster, Ohio
KLHV|William T. Piper Memorial Airport|Lock Haven, Pennsylvania
KLHX|La Junta Municipal Airport|La Junta, Colorado
KLHZ|Franklin County Airport|Louisburg, North Carolina
KLIC|Limon Municipal Airport|Limon, Colorado
KLIT|Little Rock National Airport Adams Field|Little Rock, Arkansas
KLKP|Lake Placid Airport|Lake Placid, New York
KLKR|Lancaster County Airport (McWhirter Field)|Lancaster, South Carolina
KLKV|Lake County Airport|Lakeview, Oregon
KLKU|Louisa County Airport|Louisa, Virginia
KLLJ|Challis Airport|Challis, Idaho
KLLQ|Monticello Municipal Airport (Ellis Field)|Monticello, Arkansas
KLLU|Lamar Municipal Airport|Lamar, Missouri
KLMS|Louisville Winston County Airport|Louisville, Mississippi
KLMT|Klamath Falls International Airport|Klamath Falls, Oregon
KLNC|Lancaster Airport|Lancaster, Texas
KLND|Hunt Field|Lander, Wyoming
KLNK|Lincoln Airport|Lincoln, Nebraska
KLNP|Lonesome Pine Airport|Wise, Virginia
KLNS|Lancaster Airport|Lancaster, Pennsylvania
KLOL|Derby Airport|Lovelock, Nevada
KLOU|Bowman Field|Louisville, Kentucky
KLOZ|London-Corbin Airport|London, Kentucky
KLPC|Lompoc Airport|Lompoc, California
KLKQ|Pickens County Airport|Pickens, South Carolina
KLQR|Larned-Pawnee County Airport|Larned, Kansas
KLRD|Laredo International Airport|Laredo, Texas
KLRF|Little Rock Air Force Base|Jacksonville, Arkansas
KLRG|Lincoln Regional Airport|Lincoln, Maine
KLRU|Las Cruces International Airport|Las Cruces, New Mexico
KLSB|Lordsburg Municipal Airport|Lordsburg, New Mexico
KLSE|La Crosse Municipal Airport|La Crosse, Wisconsin
KLSK|Lusk Municipal Airport|Lusk, Wyoming
KLSN|Los Banos Municipal Airport|Los Banos, California
KLSV|Nellis Air Force Base|Las Vegas, Nevada
KLUF|Luke Air Force Base|Glendale, Arizona
KLUL|Hesler-Noble Field|Laurel, Mississippi
KLVK|Livermore Municipal Airport|Livermore, California
KLVL|Lawrenceville/Brunswick Municipal Airport|Lawrenceville, Virginia
KLVM|Mission Field|Livingston, Montana
KLVN|Airlake Airport|Lakeville, Minnesota
KLVS|Las Vegas Municipal Airport|Las Vegas, New Mexico
KLWB|Greenbrier Valley Airport|Lewisburg, West Virginia
KLWC|Lawrence Municipal Airport|Lawrence, Kansas
KLWL|Wells Municipal Airport|Wells, Nevada
KLWM|Lawrence Municipal Airport|Lawrence, Massachusetts
KLWS|Lewiston-Nez Perce County Airport|Lewiston, Idaho
KLWT|Lewistown Municipal Airport|Lewistown, Montana
KLXL|Little Falls/Morrison County Airport (Lindbergh Field) - Little Falls, Minnesota|
KLXN|Jim Kelly Field|Lexington, Nebraska
KLXV|Lake County Airport|Leadville, Colorado
KLYH|Lynchburg Regional Airport|Lynchburg, Virginia
KLYO|Lyons-Rice County Municipal Airport|Lyons, Kansas
KLZZ|Lampasas Airport|Lampasas, Texas
KMAC|Macon Downtown Airport|Macon, Georgia
KMAE|Madera Municipal Airport|Madera, California
KMAF|Midland International Airport|Midland, Texas
KMAI|Marianna Municipal Airport|Marianna, Florida
KMAL|Malone-Dufort Airport|Malone, New York
KMAO|Marion County Airport|Marion, South Carolina
KMBG|Mobridge Municipal Airport|Mobridge, South Dakota
KMBO|Campbell Airport|Madison, Mississippi
KMBS|MBS International Airport|Midland, Bay City, Saginaw, Michigan
KMCB|McComb-Pike County Airport (John E. Lewis Field)|McComb, Mississippi
KMCC|McClellan Airfield|Sacramento, California
KMCE|Merced Municipal Airport|Merced, California
KMCF|MacDill Air Force Base|Tampa, Florida
KMCI|Kansas City International Airport|Kansas City, Missouri
KMCK|McCook Municipal Airport|McCook, Nebraska
KMCN|Middle Georgia Regional Airport|Macon, Georgia
KMCO|Orlando International Airport|Orlando, Florida
KMCW|Mason City Municipal Airport|Mason City, Iowa
KMCZ|Martin County Airport|Williamston, North Carolina
KMDQ|Madison County Executive Airport|Huntsville, Alabama
KMDS|Madison Municipal Airport|Madison, South Dakota
KMDT|Harrisburg International Airport|Middletown, Pennsylvania
KMDW|Chicago Midway International Airport|Chicago, Illinois
KMDZ|Taylor County Airport|Medford, Wisconsin
KMEB|Laurinburg-Maxton Airport|Maxton, North Carolina
KMEI|Key Airport|Meridian, Mississippi
KMEJ|Meade Municipal Airport|Meade, Kansas
KMEM|Memphis International Airport|Memphis, Tennessee
KMER|Castle Airport|Atwater, California
KMEV|Minden-Tahoe Airport|Minden, Nevada
KMFE|McAllen-Miller International Airport|McAllen, Texas
KMFR|Rogue Valley International-Medford Airport|Medford, Oregon
KMFV|Accomack County Airport|Melfa, Virginia
KMGJ|Orange County Airport|Montgomery, New York
KMGM|Montgomery Regional Airport|Montgomery, Alabama
KMGW|Morgantown Municipal Airport|Morgantown, West Virginia
KMGY|Dayton Wright Brothers Airport|Dayton, Ohio
KMHE|Mitchell Municipal Airport|Mitchell, South Dakota
KMHK|Manhattan Regional Airport|Manhattan, Kansas
KMHL|Marshall Memorial Municipal Airport|Marshall, Missouri
KMHN|Hooker County Airport|Mullen, Nebraska
KMHR|Mather Airport|Sacramento, California
KMHT|Manchester-Boston Regional Airport|Manchester, New Hampshire
KMHV|Mojave Spaceport|Mojave, California
KMIA|Miami International Airport|Miami, Florida
KMIB|Minot Air Force Base|Minot, North Dakota
KMIC|Crystal Airport|Crystal, Minnesota
KMIT|Shafter Airport|Shafter, California
KMIV|Millville Municipal Airport|Millville, New Jersey
KMJX|Robert J. Miller Air Park|Toms River, New Jersey
KMKA|Miller Municipal Airport|Miller, South Dakota
KMKE|General Mitchell International Airport|Milwaukee, Wisconsin
KMKJ|Mountain Empire Airport|Marion-Wytheville, Virginia
KMKL|Mc Kellar-Sipes Regional Airport|Jackson, Tennessee
KMLD|Malad City Airport|Malad City, Idaho
KMLF|Milford Municipal Airport|Milford, Utah
KMLS|Miles City Municipal Airport|Miles City, Montana
KMLT|Millinocket Municipal Airport|Millinocket, Maine
KMLU|Monroe Regional Airport|Monroe, Louisiana
KMMH|Mammoth Yosemite Airport|Mammoth Lakes, California
KMMK|Meriden Markham Municipal Airport|Meriden, Connecticut
KMMS|Selfs Airport|Marks, Mississippi
KMMT|McEntire Joint National Guard Base|Eastover, South Carolina
KMMU|Morristown Municipal Airport|Morristown, New Jersey
KMMV|McMinnville Municipal Airport|McMinnville, Oregon
KMNI|Santee Cooper Regional Airport|Manning, South Carolina
KMNZ|Hamilton Municipal Airport|Hamilton, Texas
KMOB|Mobile Regional Airport|Mobile, Alabama
KMOD|Modesto City-County Airport|Modesto, California
KMOT|Minot International Airport|Minot, North Dakota
KMPE|Philadelphia Municipal Airport|Philadelphia, Mississippi
KMPJ|Petit Jean Park Airport|Morrilton, Arkansas
KMPO|Pocono Mountains Municipal Airport|Mount Pocono, Pennsylvania
KMPR|McPherson Airport|McPherson, Kansas
KMPV|Edward F. Knapp State Airport|Barre-Montpelier, Vermont
KMQI|Dare County Regional Airport|Manteo, North Carolina
KMQS|Chester County G O Carlson Airport|Coatesville, Pennsylvania
KMQY|Smyrna Airport|Smyrna, Tennessee
KMRH|Michael J. Smith Field|Beaufort, North Carolina
KMRN|Morganton-Lenoir Airport|Morganton, North Carolina
KMRY|Monterey Peninsula Airport|Monterey, California
KMRB|Eastern West Virginia Regional Airport (Shepherd Field)|Martinsburg, West Virginia
KMSL|Northwest Alabama Regional Airport|Muscle Shoals, Alabama
KMSO|Missoula International Airport|Missoula, Montana
KMSN|Dane County Regional Airport|Madison, Wisconsin
KMSP|Minneapolis-Saint Paul International Airport|Bloomington, Minnesota
KMSS|Massena International Airport|Massena, New York
KMSV|Sullivan County International Airport|Monticello, New York
KMSY|Louis Armstrong International Airport|New Orleans, Louisiana
KMTC|Selfridge Air National Guard Base|Mt. Clemens, Michigan
KMTJ|Montrose Regional Airport|Montrose, Colorado
KMTN|Martin State Airport|Baltimore, Maryland
KMTP|Montauk Airport|Montauk, New York
KMTV|Blue Ridge Airport|Martinsville, Virginia
KMUO|Mountain Home Air Force Base|Mountain Home, Idaho
KMUT|Muscatine Municipal Airport|Muscatine, Iowa
KMUU|Huntingdon County Airport|Mount Union, Pennsylvania
KMVC|Monroe County Airport|Monroeville, Alabama
KMVI|Monte Vista Municipal Airport|Monte Vista, Colorado
KMVL|Morrisville Stowe State Airport|Morrisville, Vermont
KMVM|Machias-Valley Airport|Machias, Maine
KMVY|Martha's Vineyard Airport|Vineyard Haven, Massachusetts
KMWH|Grant County International Airport|Moses Lake, Washington
KMWK|Mount Airy/Surry County Airport|Mount Airy, North Carolina
KMXA|Manila Municipal Airport|Manila, Arkansas
KMXF|Maxwell Air Force Base|Montgomery, Alabama
KMYF|Montgomery Field|San Diego, California
KMYL|McCall Airport|McCall, Idaho
KMXO|Monticello Regional Airport|Monticello, Iowa
KMYR|Myrtle Beach International Airport|Myrtle Beach, South Carolina
KMYV|Yuba County Airport|Marysville, California
KMYZ|Marysville Municipal Airport|Marysville, Kansas
KMZJ|Pinal Airpark|Pinal County, Arizona
KNAB|Albany Naval Air Station|Albany, Georgia
KNBC|Marine Corps Air Station Beaufort|Beaufort, South Carolina
KNCA|Marine Corps Air Station New River|Jacksonville, North Carolina
KNDY|Dahlgren Naval Surface Warfare Center|Dahlgren, Virginia
KNEL|Naval Air Engineering Station Lakehurst|Lakehurst, New Jersey
KNFE|Fentress NALF|Fentress, Virginia
KNFG|Marine Corps Air Station Camp Pendleton|
KNFL|Naval Air Station Fallon|Fallon, Nevada
KNGU|Norfolk Naval Station|Norfolk, Virginia
KNGZ|Alameda Naval Air Station|Alameda, California
KNHK|Naval Air Station Patuxent River|Patuxent River, Maryland
KNHZ|Naval Air Station Brunswick|Brunswick, Maine
KNID|Naval Air Weapons Station China Lake|Ridgecrest, California
KNIP|Naval Air Station Jacksonville|Jacksonville, Florida
KNJK|Naval Air Facility El Centro|El Centro, California
